Pokemon,Usage%,RawUsage,Type1,Type2,HP,Atk,Def,SpAtk,SpDef,Speed
Gengar,0.21543%,29965,Ghost,Poison,60,65,60,130,75,110
Quaquaval,0.24782%,42804,Water,Fighting,85,120,80,85,75,85
Weavile,7.75603%,79409,Dark,Ice,70,120,65,45,85,125
Arcanine-Hisui,0.10677%,26928,Fire,Rock,95,115,80,95,80,90
Comfey,0.46348%,16066,Fairy,None,51,52,90,82,110,100
Gallade,0.25182%,10498,Psychic,Fighting,68,125,65,65,115,80
Corviknight,22.41954%,224818,Flying,Steel,98,87,105,53,85,67
Torkoal,0.97886%,76004,Fire,None,70,85,140,85,70,20
Latios,3.13761%,44072,Dragon,Psychic,80,90,80,130,110,110
Azelf,0.03180%,6141,Psychic,None,75,125,70,125,70,115
Salazzle,0.02961%,9801,Poison,Fire,68,64,60,111,60,117
Klawf,0.75202%,4314,Rock,None,70,100,115,35,55,75
Honchkrow,0.05233%,2917,Dark,Flying,100,125,52,105,52,71
Iron Treads,5.19971%,152983,Ground,Steel,90,112,120,72,70,106
Forretress,0.02974%,14714,Bug,Steel,75,90,140,60,60,40
Mandibuzz,1.54552%,18090,Dark,Flying,110,65,105,55,95,80
Darkrai,10.40132%,170900,Dark,None,70,90,90,135,90,125
Kleavor,0.10249%,16000,Bug,Rock,70,135,95,45,70,85
Zapdos-Galar,0.41420%,9432,Fighting,Flying,90,125,90,85,90,100
Tinkaton,5.86163%,77009,Fairy,Steel,85,75,77,70,105,94
Weezing-Galar,15.21486%,42322,Poison,Fairy,65,90,120,85,70,60
Umbreon,0.02675%,18886,Dark,None,95,65,110,60,130,65
Quagsire,0.05440%,10847,Water,Ground,95,85,85,65,65,35
Dragonite,19.10264%,282179,Dragon,Flying,91,134,95,100,100,80
Garganacl,7.30973%,133987,Rock,None,100,100,130,45,90,35
Reuniclus,0.20573%,13534,Psychic,None,110,65,75,125,85,30
Kingambit,21.27718%,412146,Dark,Steel,100,135,120,60,85,50
Skarmory,6.46316%,42632,Steel,Flying,65,80,140,40,70,70
Muk-Alola,0.09377%,9259,Poison,Dark,105,105,75,65,100,50
Sableye,0.09142%,7831,Dark,Ghost,50,75,75,65,65,50
Venusaur,0.27086%,29683,Grass,Poison,80,82,83,100,100,80
Kommo-o,0.09216%,23313,Dragon,Fighting,75,110,125,100,105,85
Dragapult,15.57184%,324719,Dragon,Ghost,88,120,75,100,75,142
Lokix,1.53746%,59717,Bug,Dark,71,102,78,52,55,92
Klefki,0.25092%,7868,Steel,Fairy,57,80,91,80,87,75
Conkeldurr,0.09098%,16409,Fighting,None,105,140,95,55,65,45
Deoxys-Defense,0.04502%,8507,Psychic,None,50,70,160,70,160,90
Gliscor,31.09270%,253499,Ground,Flying,75,95,125,45,75,95
Malamar,0.02602%,7192,Dark,Psychic,86,92,88,68,75,73
Swampert,0.06719%,12915,Water,Ground,100,110,90,85,90,60
Volcanion,1.19330%,22337,Fire,Water,80,110,120,130,90,70
Slowbro-Galar,0.19303%,6591,Poison,Psychic,95,100,95,100,70,30
Excadrill,1.39945%,42853,Ground,Steel,110,135,60,50,65,88
Clodsire,4.26808%,69895,Poison,Ground,130,75,60,45,100,20
Haxorus,0.05095%,16385,Dragon,None,76,147,90,60,70,97
Walking Wake,7.18807%,117581,Water,Dragon,99,83,91,125,83,109
Zapdos,4.69405%,140809,Electric,Flying,90,90,85,125,90,100
Bronzong,0.28840%,11380,Steel,Psychic,67,89,116,79,116,33
Basculegion,0.06161%,9203,Water,Ghost,120,112,65,80,75,78
Mienshao,0.06012%,5238,Fighting,None,65,125,60,95,60,105
Alomomola,8.02521%,144892,Water,None,165,75,80,40,45,65
Iron Moth,9.53296%,250109,Fire,Poison,80,70,60,140,110,110
Scovillain,0.03348%,4563,Grass,Fire,65,108,65,108,65,75
Bellibolt,0.08699%,6285,Electric,None,109,64,91,103,83,45
Ogerpon-Cornerstone,0.85101%,40337,Grass,Rock,80,120,84,60,96,110
Iron Crown,4.71712%,111658,Steel,Psychic,90,72,100,122,108,98
Meloetta,0.04225%,7290,Normal,Psychic,100,77,77,128,128,90
Rillaboom,2.86071%,119663,Grass,None,100,125,90,60,70,85
Latias,0.54915%,33725,Dragon,Psychic,80,80,90,110,130,110
Metagross,0.06556%,24298,Steel,Psychic,80,135,130,95,90,70
Enamorus,4.37631%,98431,Fairy,Flying,74,115,70,135,80,106
Inteleon,0.10824%,6951,Water,None,70,85,65,125,65,120
Ting-Lu,21.52833%,192107,Dark,Ground,155,110,125,55,80,45
Ditto,0.32494%,13281,Normal,None,48,48,48,48,48,48
Blaziken,1.99050%,61528,Fire,Fighting,80,120,70,110,70,80
Iron Jugulis,0.13957%,6691,Dark,Flying,94,80,86,122,80,108
Zoroark-Hisui,0.03575%,23445,Normal,Ghost,55,100,60,125,60,110
Registeel,0.03720%,2594,Steel,None,80,75,150,75,150,50
Charizard,0.03227%,17254,Fire,Flying,78,84,78,109,85,100
Keldeo,2.57349%,45027,Water,Fighting,91,72,90,129,90,108
Hoopa-Unbound,0.86984%,43225,Psychic,Dark,80,160,60,170,130,80
Moltres,5.39532%,130067,Fire,Flying,90,100,90,125,85,90
Gholdengo,17.40627%,388063,Steel,Ghost,87,60,95,133,91,84
Espeon,0.25245%,19254,Psychic,None,65,65,60,130,95,110
Iron Boulder,0.58363%,18544,Rock,Psychic,90,120,80,68,108,124
Iron Hands,0.77902%,38512,Fighting,Electric,154,140,108,50,68,50
Cyclizar,0.03898%,7731,Dragon,Normal,70,95,65,85,65,121
Cramorant,0.03423%,2515,Flying,Water,70,85,55,85,95,85
Jolteon,0.65403%,13296,Electric,None,65,65,60,110,95,130
Dondozo,16.14691%,81385,Water,None,150,100,115,65,65,35
Blissey,14.57042%,83168,Normal,None,255,10,10,75,135,55
Ribombee,1.67752%,48595,Bug,Fairy,60,55,60,95,70,124
Yanmega,0.04096%,8438,Bug,Flying,86,76,86,116,56,95
Grimmsnarl,0.14848%,30187,Dark,Fairy,95,120,65,95,75,60
Landorus-Therian,12.50892%,236134,Ground,Flying,89,145,90,105,80,91
Slither Wing,1.11249%,14426,Bug,Fighting,85,135,79,85,105,81
Basculegion-F,0.03964%,4789,Water,Ghost,120,92,65,100,75,78
Magnezone,0.13752%,15293,Electric,Steel,70,70,115,130,90,60
Houndstone,0.04461%,3568,Ghost,None,72,101,100,50,97,68
Zarude,0.03353%,4711,Dark,Grass,105,120,105,70,95,105
Barraskewda,1.41862%,29742,Water,None,61,123,60,60,50,136
Ceruledge,1.94471%,77332,Fire,Ghost,75,125,80,60,100,85
Azumarill,0.31674%,25317,Water,Fairy,100,50,80,60,80,50
Hydrapple,2.49332%,47909,Grass,Dragon,106,80,110,120,80,44
Gyarados,0.02638%,18202,Water,Flying,95,125,79,60,100,81
Okidogi,1.74171%,20421,Poison,Fighting,88,128,115,58,86,80
Ninetales-Alola,2.74086%,58225,Ice,Fairy,73,67,75,81,100,109
Moltres-Galar,0.65760%,19467,Dark,Flying,90,85,90,100,125,90
Samurott-Hisui,10.89438%,214350,Water,Dark,90,108,80,100,65,85
Pelipper,1.74568%,63042,Water,Flying,60,50,100,95,70,65
Tauros-Paldea-Aqua,0.05353%,2104,Fighting,Water,75,110,105,30,70,100
Gastrodon,0.02938%,9252,Water,Ground,111,83,68,92,82,39
Lilligant-Hisui,0.15233%,15341,Grass,Fighting,70,105,75,50,75,105
Scizor,4.97628%,94515,Bug,Steel,70,130,100,55,80,65
Diancie,0.05832%,7758,Rock,Fairy,50,100,150,100,150,50
Vileplume,0.02915%,6744,Grass,Poison,75,80,85,110,90,50
Great Tusk,27.06328%,563831,Ground,Fighting,115,131,131,53,53,87
Garchomp,2.26656%,112735,Dragon,Ground,108,130,95,80,85,102
Sylveon,0.07768%,13517,Fairy,None,95,65,65,110,130,60
Frosmoth,0.15142%,8416,Ice,Bug,70,65,60,125,90,65
Salamence,0.07087%,14748,Dragon,Flying,95,135,80,110,80,100
Milotic,0.35863%,15309,Water,None,95,60,79,100,125,81
Maushold,0.47596%,28882,Normal,None,74,75,70,65,75,111
Slowking,0.23679%,16682,Water,Psychic,95,75,80,100,110,30
Greninja,0.66079%,56900,Water,Dark,72,95,67,103,71,122
Pawmot,1.09713%,10004,Electric,Fighting,70,115,70,70,60,105
Overqwil,0.20223%,7742,Dark,Poison,85,115,95,65,65,85
Smeargle,0.02438%,7650,Normal,None,55,20,35,20,45,75
Toxapex,11.11961%,66157,Poison,Water,50,63,152,53,142,35
Chesnaught,0.03135%,8370,Grass,Fighting,88,107,122,74,75,64
Tornadus-Therian,1.18657%,19884,Flying,None,79,100,80,110,90,121
Polteageist,0.32323%,19534,Ghost,None,60,65,65,134,114,70
Slowking-Galar,13.09287%,247620,Poison,Psychic,95,65,80,110,110,30
Cresselia,0.57718%,16786,Psychic,None,120,70,110,75,120,85
Leavanny,0.03620%,8223,Bug,Grass,75,103,80,70,80,92
Scream Tail,0.37106%,8275,Fairy,Psychic,115,65,99,65,115,111
